1 is a perfect square.
2 is not a perfect square.
3 is not a perfect square.
4 is a perfect square.
5 is not a perfect square.
6 is not a perfect square.
7 is not a perfect square.
8 is not a perfect square.
9 is a perfect square.
10 is not a perfect square.
11 is not a perfect square.
12 is not a perfect square.
13 is not a perfect square.
14 is not a perfect square.
15 is not a perfect square.
16 is a perfect square.
17 is not a perfect square.
18 is not a perfect square.
19 is not a perfect square.
20 is not a perfect square.
21 is not a perfect square.
22 is not a perfect square.
23 is not a perfect square.
24 is not a perfect square.
25 is a perfect square.
26 is not a perfect square.
27 is not a perfect square.
28 is not a perfect square.
29 is not a perfect square.
30 is not a perfect square.
31 is not a perfect square.
32 is not a perfect square.
33 is not a perfect square.
34 is not a perfect square.
35 is not a perfect square.
36 is a perfect square.
37 is not a perfect square.
38 is not a perfect square.
39 is not a perfect square.
40 is not a perfect square.
41 is not a perfect square.
42 is not a perfect square.
43 is not a perfect square.
44 is not a perfect square.
45 is not a perfect square.
46 is not a perfect square.
47 is not a perfect square.
48 is not a perfect square.
49 is a perfect square.
50 is not a perfect square.
51 is not a perfect square.
52 is not a perfect square.
53 is not a perfect square.
54 is not a perfect square.
55 is not a perfect square.
56 is not a perfect square.
57 is not a perfect square.
58 is not a perfect square.
59 is not a perfect square.
60 is not a perfect square.
61 is not a perfect square.
62 is not a perfect square.
63 is not a perfect square.
64 is a perfect square.
65 is not a perfect square.
66 is not a perfect square.
67 is not a perfect square.
68 is not a perfect square.
69 is not a perfect square.
70 is not a perfect square.
71 is not a perfect square.
72 is not a perfect square.
73 is not a perfect square.
74 is not a perfect square.
75 is not a perfect square.
76 is not a perfect square.
77 is not a perfect square.
78 is not a perfect square.
79 is not a perfect square.
80 is not a perfect square.
81 is a perfect square.
82 is not a perfect square.
83 is not a perfect square.
84 is not a perfect square.
85 is not a perfect square.
86 is not a perfect square.
87 is not a perfect square.
88 is not a perfect square.
89 is not a perfect square.
90 is not a perfect square.
91 is not a perfect square.
92 is not a perfect square.
93 is not a perfect square.
94 is not a perfect square.
95 is not a perfect square.
96 is not a perfect square.
97 is not a perfect square.
98 is not a perfect square.
99 is not a perfect square.
100 is a perfect square.
